,song_link,id,release_year,duration_ms.x,explicit,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl,000xQL6tZNLJzIrtIgxqSl,2017,188490,FALSE,Still Got Time (feat. PARTYNEXTDOOR),63.0,0.748,0.627,7.0,-6.029,1.0,0.0639,0.131,0.0,0.0852,0.524,120.963,4.0
1,https://open.spotify.com/track/001UkMQHw4zXfFNdKpwXAF,001UkMQHw4zXfFNdKpwXAF,2019,191053,FALSE,Brand New Man - with Luke Combs,68.0,0.573,0.846,7.0,-4.866,1.0,0.0344,0.00372,7.87e-05,0.29,0.562,127.061,4.0
5,https://open.spotify.com/track/007EFIByaEW4dgEcIbfBg9,007EFIByaEW4dgEcIbfBg9,2018,170626,FALSE,Hasta Que un dí,58.0,0.684,0.564,10.0,-6.852,1.0,0.0297,0.425,0.0,0.152,0.368,134.958,4.0
7,https://open.spotify.com/track/009thiR2SWpG6jXqXYX2AT,009thiR2SWpG6jXqXYX2AT,2020,152784,FALSE,Cuantas Amantes,53.0,0.754,0.169,4.0,-14.999,0.0,0.054,0.965,0.872,0.114,0.422,93.952,4.0
8,https://open.spotify.com/track/00bOuKgzbRkOHmgCAL7ChZ,00bOuKgzbRkOHmgCAL7ChZ,2019,271680,FALSE,Zoning,50.0,0.629,0.877,7.0,-4.642,1.0,0.0402,0.0289,0.408,0.106,0.0369,104.978,4.0
10,https://open.spotify.com/track/00cBcYOlnHoXX9ver3cmdE,00cBcYOlnHoXX9ver3cmdE,2020,225680,FALSE,A Little Bit Yours,74.0,0.598,0.295,1.0,-8.553,1.0,0.0276,0.735,0.0,0.107,0.314,87.025,4.0
11,https://open.spotify.com/track/00ETaeHUQ6lops3oWU1Wrt,00ETaeHUQ6lops3oWU1Wrt,2020,199007,FALSE,Hot Stuff,77.0,0.681,0.773,5.0,-5.749,1.0,0.148,0.019,1.28e-06,0.11,0.429,119.961,4.0
12,https://open.spotify.com/track/00geGCe2BVyuqj1vkNJSBn,00geGCe2BVyuqj1vkNJSBn,2019,204829,FALSE,Welcome to the End of Your Life,52.0,0.322,0.696,9.0,-7.384,1.0,0.0796,0.0378,0.0,0.093,0.345,142.085,4.0
13,https://open.spotify.com/track/00gLisxOrLruNwJFdpkHc2,00gLisxOrLruNwJFdpkHc2,2018,143355,FALSE,forget her,66.0,0.533,0.313,2.0,-16.827,1.0,0.033,0.631,0.681,0.072,0.517,148.926,4.0
14,https://open.spotify.com/track/00GOPLxW4PGQuUYdPJh8K1,00GOPLxW4PGQuUYdPJh8K1,2013,180675,TRUE,IV. Sweatpants,71.0,0.71,0.47,1.0,-9.33,0.0,0.142,0.154,0.0,0.643,0.581,80.027,4.0
15,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm,00i0O74dXdaKKdCrqHnfXm,2015,211680,FALSE,La Mordidita (feat. Yotuel),69.0,0.725,0.903,0.0,-2.955,1.0,0.0658,0.0344,0.0,0.183,0.946,142.006,4.0
17,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf,00ko9WaS4jOX1kEk3gvHjf,2019,225923,TRUE,Hot Shower,72.0,0.899,0.509,9.0,-8.04,1.0,0.387,0.00157,0.0,0.0573,0.599,150.001,4.0
18,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU,00Mb3DuaIH1kjrwOku9CGU,2002,204000,FALSE,Sk8er Boi,75.0,0.487,0.9,0.0,-4.417,1.0,0.0482,6.79e-05,0.0,0.358,0.484,149.937,4.0
20,https://open.spotify.com/track/00okrW9OfjmG0PZJSY3fJd,00okrW9OfjmG0PZJSY3fJd,2020,151890,TRUE,Stay Away (feat. Machine Gun Kelly & Goody Grace),68.0,0.667,0.636,8.0,-5.669,1.0,0.082,0.022,0.0,0.0908,0.152,158.058,4.0
